Proizvajalec;Model;Gorivo;Moè (km);Menjalnik;Pogon;ABS;Navigacija;Klima;Parkirni senzor
BMW;BMW 325ix Automatic (4-Türer);Bencin;171;Avtomatski;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 324d (4-Türer);Dizel;86;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316i ;Bencin;99;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i ;Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Automatic;Bencin;102;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Comfort Edition;Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Comfort Edition Automatic;Bencin;102;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Sport Edition;Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Sport Edition Automatic;Bencin;102;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Exclusiv Edition;Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 316i Exclusiv Edition Automatic;Bencin;102;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i ;Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i ;Bencin;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Automatic;Bencin;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Comfort Edition;Bencin;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Comfort Edition Automatic;Bencin;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Sport Edition;Bencin;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Sport Edition Automatic;Bencin;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Exclusiv Edition;Bencin;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318i Exclusiv Edition Automatic;Bencin;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i ;Bencin;150;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Automatic;Bencin;150;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Comfort Edition;Bencin;150;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Comfort Edition Automatic;Bencin;150;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Sport Edition;Bencin;150;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Sport Edition Automatic;Bencin;150;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Exclusiv Edition;Bencin;150;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 320i Exclusiv Edition Automatic;Bencin;150;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i ;Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Automatic;Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Comfort Edition;Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Comfort Edition Automatic;Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Sport Edition;Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Sport Edition Automatic;Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Exclusiv Edition;Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 323i Exclusiv Edition Automatic;Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325i ;Bencin;192;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i ;Bencin;193;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Automatic;Bencin;193;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Comfort Edition;Bencin;193;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Comfort Edition Automatic;Bencin;193;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Sport Edition;Bencin;193;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Sport Edition Automatic;Bencin;193;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Exclusiv Edition;Bencin;193;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 328i Exclusiv Edition Automatic;Bencin;193;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318tds kat ;Dizel;90;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318tds kat Comfort Edition;Dizel;90;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318tds kat Sport Edition;Dizel;90;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 318tds kat Exclusiv Edition;Dizel;90;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat ;Dizel;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat Automatic;Dizel;115;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;DA
BMW;BMW 325td kat Comfort Edition;Dizel;115;Roèni;Pogon na zadnja kolesa;DA;NE;DA;DA
